Name,Team,Year,Attempts,Percent
"Newman, Harry",New York Giants,1933,136,39.0
"Danowski, Ed",New York Giants,1935,113,50.4
"Matesic, Ed",Pittsburgh Pirates,1936,138,46.4
"Danowski, Ed",New York Giants,1937,134,49.3
"Danowski, Ed",New York Giants,1938,129,54.3
"Hall, Parker",Cleveland Rams,1939,208,51.0
"Baugh, Sammy",Washington Redskins,1940,177,62.7
"Isbell, Cecil",Green Bay Packers,1941,206,56.8
"Baugh, Sammy",Washington Redskins,1942,225,58.7
"Baugh, Sammy",Washington Redskins,1943,239,55.6
"Filchock, Frank",Washington Redskins,1944,147,57.1
"Baugh, Sammy",Washington Redskins,1945,182,70.3
"Thompson, Tommy",Philadelphia Eagles,1946,103,55.3
"Baugh, Sammy",Washington Redskins,1947,354,59.3
"Baugh, Sammy",Washington Redskins,1948,315,58.7
"Baugh, Sammy",Washington Redskins,1949,255,56.9
"Waterfield, Bob",Los Angeles Rams,1950,213,57.3
"Thomason, Bobby",Green Bay Packers,1951,221,56.6
"Van Brocklin, Norm",Los Angeles Rams,1952,205,55.1
"Tittle, Y.A.",San Francisco 49ers,1953,259,57.5
"Tittle, Y.A.",San Francisco 49ers,1954,295,57.6
"Layne, Bobby",Detroit Lions,1955,270,53.0
"Tittle, Y.A.",San Francisco 49ers,1956,218,56.9
"Tittle, Y.A.",San Francisco 49ers,1957,279,63.1
"Tittle, Y.A.",San Francisco 49ers,1958,208,57.7
"Wade, Billy",Los Angeles Rams,1959,261,58.6
"Wade, Billy",Los Angeles Rams,1960,182,58.2
"Tittle, Y.A.",New York Giants,1961,285,57.2
"Dawson, Len",Dallas Texans,1962,310,61.0
"Tittle, Y.A.",New York Giants,1963,367,60.2
"Dawson, Len",Kansas City Chiefs,1964,354,56.2
"Unitas, Johnny",Baltimore Colts,1965,282,58.2
"Nelsen, Bill",Pittsburgh Steelers,1966,112,56.3
"Unitas, Johnny",Baltimore Colts,1967,436,58.5
"Dawson, Len",Kansas City Chiefs,1968,224,58.5
"Dawson, Len",Kansas City Chiefs,1969,166,59.0
"Landry, Greg",Detroit Lions,1970,136,61.0
"Carter, Virgil",Cincinnati Bengals,1971,222,62.2
"Dawson, Len",Kansas City Chiefs,1972,305,57.4
"Dawson, Len",Kansas City Chiefs,1973,101,65.3
"Anderson, Ken",Cincinnati Bengals,1974,328,64.9
"Dawson, Len",Kansas City Chiefs,1975,140,66.4
"Tarkenton, Fran",Minnesota Vikings,1976,412,61.9
"Fouts, Dan",San Diego Chargers,1977,109,63.3
"Manning, Archie",New Orleans Saints,1978,471,61.8
"Fouts, Dan",San Diego Chargers,1979,530,62.6
"Manning, Archie",New Orleans Saints,1980,509,60.7
"Anderson, Ken",Cincinnati Bengals,1981,479,62.6
"Anderson, Ken",Cincinnati Bengals,1982,309,70.6
"Anderson, Ken",Cincinnati Bengals,1983,297,66.7
"Bartkowski, Steve",Atlanta Falcons,1984,269,67.3
"Bartkowski, Steve",Atlanta Falcons,1985,111,62.2
"O'Brien, Ken",New York Jets,1986,482,62.2
"Kosar, Bernie",Cleveland Browns,1987,389,62.0
"Kosar, Bernie",Cleveland Browns,1988,259,60.2
"Harbaugh, Jim",Chicago Bears,1989,178,62.4
"Kelly, Jim",Buffalo Bills,1990,346,63.3
"Aikman, Troy",Dallas Cowboys,1991,363,65.3
"Young, Steve",San Francisco 49ers,1992,402,66.7
"Aikman, Troy",Dallas Cowboys,1993,392,69.1
"Young, Steve",San Francisco 49ers,1994,461,70.3
"Kosar, Bernie",Miami Dolphins,1995,108,68.5
"Young, Steve",San Francisco 49ers,1996,316,67.7
"Young, Steve",San Francisco 49ers,1997,356,67.7
"Johnson, Brad",Minnesota Vikings,1998,101,64.4
"Warner, Kurt",St. Louis Rams,1999,499,65.1
"Warner, Kurt",St. Louis Rams,2000,347,67.7
"Warner, Kurt",St. Louis Rams,2001,546,68.7
"Pennington, Chad",New York Jets,2002,399,68.9
"Manning, Peyton",Indianapolis Colts,2003,566,67.0
"Manning, Peyton",Indianapolis Colts,2004,497,67.6
"Martin, Jamie",St. Louis Rams,2005,177,70.1
"Carr, David",Houston Texans,2006,442,68.3
"Brady, Tom",New England Patriots,2007,578,68.9
"Pennington, Chad",Miami Dolphins,2008,476,67.4
"Brees, Drew",New Orleans Saints,2009,514,70.6
"Brees, Drew",New Orleans Saints,2010,658,68.1
"Brees, Drew",New Orleans Saints,2011,657,71.2
"Smith, Alex",San Francisco 49ers,2012,218,70.2
"Rivers, Philip",San Diego Chargers,2013,544,69.5
"McCoy, Colt",Washington Redskins,2014,128,71.1
"Cousins, Kirk",Washington Redskins,2015,543,69.8
"Bradford, Sam",Minnesota Vikings,2016,552,71.6
